Date,Time,Area 6/Ecutec/PCC2/PCC2_p1160_ACT_V_OUT_ABS,Area 6/Ecutec/PCC2/PCC2_p3021_SPD_DEV_VAL,Area 6/Ecutec/PCC2/PM608_AMPS_SUM
2022-06-06,16:03:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:04:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:05:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:06:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:07:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:08:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:09:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:10:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:11:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:12:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:13:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:14:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:15:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:16:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:17:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:18:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:19:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:20:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:21:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:22:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:23:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:24:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:25:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:26:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:27:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:28:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:29:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:30:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:31:00.000,6.760934047633782E-5,,0.0
2022-06-06,16:32:00.000,6.760934047633782E-5,,0.0
